Temperature	 Residual Cu	 Residual Al
2.000000000000000000e+02	-4.955555555555559674e-09	-8.700000000000005112e-09
2.200000000000000000e+02	-4.355555555555559264e-09	-6.100000000000004991e-09
2.400000000000000000e+02	-2.455555555555558794e-09	-4.500000000000003899e-09
2.600000000000000000e+02	-9.555555555555585975e-10	-3.300000000000003080e-09
2.800000000000000000e+02	-6.555555555555592199e-10	4.999999999999945511e-10
3.000000000000000000e+02	1.144444444444440355e-09	2.299999999999997434e-09
3.200000000000000000e+02	3.044444444444440824e-09	4.199999999999997904e-09
3.400000000000000000e+02	3.744444444444440475e-09	6.999999999999996507e-09
3.600000000000000000e+02	5.444444444444442463e-09	8.599999999999997599e-09
